Project Name,Filename,Summary
"AbdurRKhalid-Abstract Factory","WindowsOSFactory.java","abstract_factory: WindowsOSFactory acts as a factory for GUIFactory, which overrides createButton method of GUIFactory, createCheckBox method of GUIFactory. It is a public class that implements GUIFactory. The 2 methods of WindowsOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   memento: WindowsOSFactory acts as an originator for memento CheckBox, which creates a CheckBox Check Box to. WindowsOSFactory acts as an originator for memento Button, which creates a Button Button to. It is a public class that implements GUIFactory. The 2 methods of WindowsOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   factory_method: WindowsOSFactory acts as a factory method for CheckBox, which is inherited by..."
"AbdurRKhalid-Abstract Factory","WindowsButton.java","abstract_factory: WindowsButton acts as a product for GUIFactory, which overrides paint method of Button. It is a public class that implements Button. The only method of WindowsButton is paint (void). No methods call paint and paint calls no methods.   memento: WindowsButton acts as a memento, which paints. It is a public class that implements Button. The only method of WindowsButton is paint (void). No methods call paint and paint calls no methods."
"AbdurRKhalid-Abstract Factory","Button.java","abstract_factory: Button acts as an abstract product for Button, which is inherited by WindowsButton, MacOSButton. It is a public interface. The only method of Button is paint (void). No methods call paint and paint calls no methods.   memento: Button acts as a memento, which is inherited by WindowsButton, MacOSButton, which paints. It is a public interface. The only method of Button is paint (void). No methods call paint and paint calls no methods."
"AbdurRKhalid-Abstract Factory","Test.java","Test does not have any design pattern.  It is a public class. The only method of Test is main (void). No methods call main and main calls no methods."
"AbdurRKhalid-Abstract Factory","CheckBox.java","abstract_factory: CheckBox acts as an abstract product for CheckBox, which is inherited by WindowsCheckBox, MacOSCheckBox. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods.   memento: CheckBox acts as a memento, which is inherited by WindowsCheckBox, MacOSCheckBox, which paints. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods.   factory_method: CheckBox acts as an abstract product for WindowsOSFactory, which is inherited by WindowsCheckBox, MacOSCheckBox. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods."
"AbdurRKhalid-Abstract Factory","MacOSFactory.java","abstract_factory: MacOSFactory acts as a factory for GUIFactory, which overrides createButton method of GUIFactory, createCheckBox method of GUIFactory. It is a public class that implements GUIFactory. The 2 methods of MacOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   memento: MacOSFactory acts as an originator for memento Button, which creates a Button Button to. MacOSFactory acts as an originator for memento CheckBox, which creates a CheckBox Check Box to. It is a public class that implements GUIFactory. The 2 methods of MacOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods."
"AbdurRKhalid-Abstract Factory","MacOSButton.java","abstract_factory: MacOSButton acts as a product for GUIFactory, which overrides paint method of Button. It is a public class that implements Button. The only method of MacOSButton is paint (void). No methods call paint and paint calls no methods.   memento: MacOSButton acts as a memento, which paints. It is a public class that implements Button. The only method of MacOSButton is paint (void). No methods call paint and paint calls no methods."
"AbdurRKhalid-Abstract Factory","WindowsCheckBox.java","abstract_factory: WindowsCheckBox acts as a product for GUIFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods.   memento: WindowsCheckBox acts as a memento, which paints. It is a public class that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods.   factory_method: WindowsCheckBox acts as a product for WindowsOSFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods."
"AbdurRKhalid-Abstract Factory","Application.java","memento: Application acts as a caretaker for memento CheckBox, which paints. Application acts as a caretaker for memento Button, which paints. It is a public class. The only method of Application is paint (void). No methods call paint and paint calls no methods."
"AbdurRKhalid-Abstract Factory","MacOSCheckBox.java","abstract_factory: MacOSCheckBox acts as a product for GUIFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods.   memento: MacOSCheckBox acts as a memento, which paints. It is a public class that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods.   factory_method: MacOSCheckBox acts as a product for WindowsOSFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods."
